text,label,notes
"US DOL (look at JOLTS reports for more detail) statistics do not bear out the hypothesis that tech jobs are hard to get (demand is still very close to 2021, which was the record).  There is a lot of evidence to support that layoffs are coming mostly from pure ""Tech Companies"", while the rest of the business world is continuing to hire. 94% of companies are saying they will add headcount in 2023...

... So my advice is to look at non-tech companies. Reality is that most companies really have become ""tech companies"", they don't make software or hardware, but have physical products and services -- and often are very technology dependent for operatiions.",analysis,
"Here, it'll almost always be pre-tax; it's primarily a US-oriented site, and the US has a very complex personal tax regime (in particular, many, many common deductions) where two people with the same pre-tax income might commonly have a very different post-tax income.",analysis,
"1)  I'm sure every one of these companies got 0% interest rates in 2021 and 2022 from the Federal Reserve. I'm going to wager that the terms of those interest rates had certain hiring quotas. Now that interest rates have increased, I'm sure that the Fed now has lay off quotas.",hot_take,
"The New York Times

Location: New York, NY

My company is looking for a ton of developers (at least 9) in various levels of experience and departments:

* Senior Software Engineer x2

* Software Engineer x3 (1 in Mobile Applications)

* Creative Technologist

* Web Developer, Senior Web Developer, Web Designer/Developer

Full list with links to detail descriptions:
http://www.nytimes.com/features/openings/index.html

I'm sure here will be some fun comments about print media dying and the pay-wall etc. but this is platform and web focused. We build a lot of cool fun stuff from our own API's, standalone web apps, social platforms, open source apps, standards, and a lot more mobile stuff on the way too. I've been there many years (web developer) and its a great place to work with many smart people…

Some URLs of note (the fun stuff IMHO):

Open Blog: http://open.blogs.nytimes.com/

NYT APIs: http://developer.nytimes.com/

Times Wire: http://www.nytimes.com/timeswire/index.html (completely developer driven)

Times Skimmer: http://www.nytimes.com/timesskimmer/ (completely developer driven)

Times People: http://timespeople.nytimes.com/view/user/37963625/activities...

Here is a horribly titled NY Mag article on some of the developers in the Newsroom:
http://nymag.com/news/features/all-new/53344/

Happy to answer questions and update this as I check back but otherwise follow that first link up top.",analysis,
"Looking for a junior Software Engineer - Java in Singapore.
(Sorry, must be located in Singapore)

The team at Plunify is seeking a talented and enthusiastic Java developer to help build a cloud computing platform. Work with the latest Web technologies to bridge the gap between the desktop and the cloud. Most importantly, be passionate about creating great software, be able to learn quickly and be a team player.

Your role is to develop, maintain and support Java applications that work with our proprietary platform. Refine and enhance security of existing Java applications. You will also be required to learn and understand how to integrate your applications with various hardware and software systems.

Required:
- BS/MS CS or related majors. (New graduates welcome) 
- Strong programming skills in Java
- Willingness to learn 
- Fluency in written and spoken English. Any other languages are a bonus!
- Deep interest in cloud computing
- Any experience in database/SQL and web scripting technologies, e.g. PHP, Javascript is a plus

Get in touch via recruit at plunify dot com!",analysis,
"SE Asia had been hit hard for a while. The thing is we never really had a dot com bubble. Unicorns were raising hard, selling $1 stuff for $0.90, outsourcing everything, skyrocketing growth, raised billions, repeat. VCs would frown on companies that were raising money to use it as a warchest, YC style.

It choked out funding for cautious YC style growth especially after Grab acquired Uber operations here. So everyone else did it too, the fake it until you make it mindset became prominent. Eventually everyone runs out of fund sources and have to become profitable, but it's hard when you're now public and used to losing millions every quarter. The costs is often in employees, so waves of layoffs it is.

A lot of it isn't American money, but it's bad timing.",analysis,
"Hi Throwawaypotato,

I was in a similar position. Non-software company, basically one of two developers in a group whose focus was business. We would occasionally interact with other software teams in other departments to integrate our systems, and I would cherish those moments; but it was clear that across the organization overall view of software was that of a necessary evil.

I tried to convince the group about taking a new approach to how we developed software, to perhaps have more communication between the sparsely distributed software team, I even made a presentation over software processes, how we could improve... nothing ever changed anything. All they really cared was that we made the wishes of the sales team real...

After a year of firefighting, dealing with poor processes, and feeling overall undervalued I resigned to resume my PhD. My advice is that you change to a software company, and in general that you join a company where your role is a first class citizen (I've heard similar complains of friends who are, in say, a finance position within a structural engineering firm).

On the other hand, I left with a strong impression that these type of non-software or software adverse companies are great candidates for companies to either sell services or to directly compete against with more efficient services... perhaps a route I'll one day take.

Cheers!",analysis,
"Are you gonna tell your product manager that it will take you 5 days to write a linear solution for your feature? O(n). Are you gonna fix a critical bug in production by using a depth first search instead of a breadth first search?

What does it even mean? When are we gonna stop lying to ourselves?

The only way to evaluate someone for a software engineer position is to assign a mini coding project. The result should be a working product, packaged and ready to be shipped.  It will tell you how fast someone can deliver a solution, how someone would design a solution, code quality, performance, etc. It doesn't have to be a gigantic app or website, just a basic working product and not a basic CS coding question that no one cares about. If you're applying for a backend position then it should be about building a backend. If you're applying for a mobile dev then it should be about building a mobile app, etc.

The whole hiring process is a joke, companies like google are focusing too much on college stuff and not enough on reality. Plus look, It's clearly written ""Masters Degree in CS"" on my Resume, that alone should tell you I already got evaluated on basic CS crap. So, let's talk about what I can really do to help your team and the company. What can I bring on the table besides a Masters Degree?",hot_take,
"They're really making the argument that these big companies full of engineers that engineered much of modern life over the last 20 years are just blindy laying people off like some kind of social contagion? That's not how it works. Companies that big and that reliant on data don't make big decisions without some team of eggheads showing them the numbers and telling them they have to.

And layoffs are a bad idea? Always? Even when sunsetting multiple large projects and downsizing your speculative endeavors? There are whole teams at these companies who's jobs just simply aren't needed anymore. It sucks for them, but to say it's a bad idea for a company to lay off people is just nonsense, there are times when you have to unfortunately.",hot_take,
"I can really echo the idea of a mock interview with a friend.

Find a friend who will let you do a mock interview with them over a screenshare for 45 minutes. They do not even have to know how to code. Give them a link to the leetcode problem list or similar, tell them to filter the page by , and select a problem at random and message you the link. Solve the problem in front of them like you would in a real interview.

I created a small cheatsheet for my friends who did this for me, as non of them were professional programmers. My cheatsheet was essentially

Step 1: I will read the problem back to you, probably paraphrased in my own words and then ask you to confirm some assumptions. You can say ""yes"" to every assumption I ask you.

Step 2: I will verbalize my thought process to solve the problem. This may involve writing a tiny bit of code to layout the task, but there should not be much code or any yet.

Step 3: I will start actually coding the solution. If I write code for more than 30 seconds without verbalizing my thoughts, alert me. If I'm not writing code but silent for more than a minute, alert me. You don't need to understand what I'm saying or writing, just make sure I am almost always talking.

Step 4: I will try to walk through my finished code step-by-step and make sure it works. Again, you don't need to understand what I'm saying, just make sure I'm always saying something.

--

One last thing that may help ease your mind a bit. Maybe I've just been very lucky with my interviewees, but I've found that communication skills and being able to lay out very clean code as my final answer is just as helpful as actually being able to quickly solve the problem. I've needed a hint from the interviewer a lot of times to solve my question. Simply asking for a hint is obviously not good, but saying something like ""This code won't work in the case where all 3 points make a parallel line, and I'm trying to come up with a solution for that... I feel like there's another way I can visualize this that I'm not seeing right now"" is better.

Good luck, coding tests suck. But you gotta do what you gotta do.",analysis,
